"id","name","season_id","no_of_games_played"
74,Amon G. Carter Stadium,2019,7
74,Amon G. Carter Stadium,2020,7
74,Amon G. Carter Stadium,2021,8
74,Amon G. Carter Stadium,2022,7
74,Amon G. Carter Stadium,2023,8
209,Andy Kerr Stadium,2019,1
209,Andy Kerr Stadium,2022,4
209,Andy Kerr Stadium,2023,5
254,Anthony Field at Wildcat Stadium,2022,5
254,Anthony Field at Wildcat Stadium,2023,5
194,ANZ Stadium,2016,1
75,Apogee Stadium,2011,6
75,Apogee Stadium,2012,5
75,Apogee Stadium,2013,7
75,Apogee Stadium,2014,6
75,Apogee Stadium,2015,5
75,Apogee Stadium,2016,6
75,Apogee Stadium,2017,6
75,Apogee Stadium,2018,6
75,Apogee Stadium,2019,6
75,Apogee Stadium,2020,7
75,Apogee Stadium,2021,6
75,Apogee Stadium,2022,6
75,Apogee Stadium,2023,6
76,Arizona Stadium,2011,6
76,Arizona Stadium,2012,9
76,Arizona Stadium,2013,7
76,Arizona Stadium,2014,7
76,Arizona Stadium,2015,7
76,Arizona Stadium,2016,8
76,Arizona Stadium,2017,8
76,Arizona Stadium,2018,8
76,Arizona Stadium,2019,7
76,Arizona Stadium,2020,4
76,Arizona Stadium,2021,6
76,Arizona Stadium,2022,8
76,Arizona Stadium,2023,7
281,Armstrong Stadium,2022,6
281,Armstrong Stadium,2023,5
25,Arrowhead Stadium,1994,1
25,Arrowhead Stadium,2005,8
25,Arrowhead Stadium,2006,8
25,Arrowhead Stadium,2007,8
25,Arrowhead Stadium,2008,8
25,Arrowhead Stadium,2009,8
25,Arrowhead Stadium,2010,9
25,Arrowhead Stadium,2011,8
25,Arrowhead Stadium,2012,8
25,Arrowhead Stadium,2013,10
25,Arrowhead Stadium,2014,10
25,Arrowhead Stadium,2015,10
25,Arrowhead Stadium,2016,11
25,Arrowhead Stadium,2017,11
25,Arrowhead Stadium,2018,12
25,Arrowhead Stadium,2019,12
25,Arrowhead Stadium,2020,10
25,Arrowhead Stadium,2021,13
25,Arrowhead Stadium,2022,12
25,Arrowhead Stadium,2023,10
272,Arthur J. Rooney Athletic Field,2022,5
272,Arthur J. Rooney Athletic Field,2023,4
77,Arthur L. Williams Stadium,2016,6
